,Match ID,Date,Venue,Winner,Bowler,Runs Concided,Wickets,Economy,Ball Bowled,Opponent Team,Inning,Over Bowled
0,225263,2006-08-28,County Ground,Pakistan,Abdul Razzaq,30,3,7.5,24,England,1,4
4,225263,2006-08-28,County Ground,Pakistan,Mohammad Asif,21,2,5.25,24,England,1,4
5,225263,2006-08-28,County Ground,Pakistan,Naved-ul-Hasan,26,1,6.5,25,England,1,4
9,225263,2006-08-28,County Ground,Pakistan,Shahid Afridi,28,0,7.0,26,England,1,4
10,225263,2006-08-28,County Ground,Pakistan,Shoaib Akhtar,31,1,7.75,24,England,1,4
15,287855,2007-09-12,Kingsmead,Pakistan,Mohammad Asif,28,1,9.33,23,Scotland,2,3
16,287855,2007-09-12,Kingsmead,Pakistan,Mohammad Hafeez,24,1,6.0,25,Scotland,2,4
18,287855,2007-09-12,Kingsmead,Pakistan,Shahid Afridi,19,4,4.75,26,Scotland,2,4
19,287855,2007-09-12,Kingsmead,Pakistan,Shoaib Malik,3,0,3.0,6,Scotland,2,1
20,287855,2007-09-12,Kingsmead,Pakistan,Umar Gul,25,4,6.25,27,Scotland,2,4
21,287855,2007-09-12,Kingsmead,Pakistan,Yasir Arafat,14,0,4.67,18,Scotland,2,3
24,287868,2007-09-17,New Wanderers Stadium,Pakistan,Mohammad Asif,47,2,11.75,27,Sri Lanka,2,4
25,287868,2007-09-17,New Wanderers Stadium,Pakistan,Mohammad Hafeez,46,1,11.5,26,Sri Lanka,2,4
28,287868,2007-09-17,New Wanderers Stadium,Pakistan,Shahid Afridi,18,3,4.5,25,Sri Lanka,2,4
29,287868,2007-09-17,New Wanderers Stadium,Pakistan,Sohail Tanvir,26,1,6.5,28,Sri Lanka,2,4
30,287868,2007-09-17,New Wanderers Stadium,Pakistan,Umar Gul,14,2,3.5,25,Sri Lanka,2,4
36,287870,2007-09-18,New Wanderers Stadium,Pakistan,Mohammad Asif,34,1,8.5,26,Australia,1,4
37,287870,2007-09-18,New Wanderers Stadium,Pakistan,Mohammad Hafeez,31,1,7.75,24,Australia,1,4
40,287870,2007-09-18,New Wanderers Stadium,Pakistan,Shahid Afridi,35,1,8.75,24,Australia,1,4
41,287870,2007-09-18,New Wanderers Stadium,Pakistan,Sohail Tanvir,31,3,7.75,25,Australia,1,4
42,287870,2007-09-18,New Wanderers Stadium,Pakistan,Umar Gul,29,1,7.25,24,Australia,1,4
46,287875,2007-09-20,Newlands,Pakistan,Mohammad Asif,26,3,6.5,26,Bangladesh,1,4
47,287875,2007-09-20,Newlands,Pakistan,Mohammad Hafeez,27,2,9.0,19,Bangladesh,1,3
48,287875,2007-09-20,Newlands,Pakistan,Shahid Afridi,25,1,6.25,24,Bangladesh,1,4
50,287875,2007-09-20,Newlands,Pakistan,Shoaib Malik,15,2,7.5,13,Bangladesh,1,2
51,287875,2007-09-20,Newlands,Pakistan,Sohail Tanvir,27,0,9.0,23,Bangladesh,1,3
53,287875,2007-09-20,Newlands,Pakistan,Umar Gul,17,2,5.67,23,Bangladesh,1,3
55,287877,2007-09-22,Newlands,Pakistan,Fawad Alam,29,2,9.67,18,New Zealand,1,3
59,287877,2007-09-22,Newlands,Pakistan,Mohammad Asif,34,0,8.5,24,New Zealand,1,4
60,287877,2007-09-22,Newlands,Pakistan,Mohammad Hafeez,10,1,10.0,6,New Zealand,1,1
63,287877,2007-09-22,Newlands,Pakistan,Shahid Afridi,24,1,6.0,26,New Zealand,1,4
64,287877,2007-09-22,Newlands,Pakistan,Sohail Tanvir,30,1,7.5,27,New Zealand,1,4
65,287877,2007-09-22,Newlands,Pakistan,Umar Gul,15,3,3.75,24,New Zealand,1,4
69,287879,2007-09-24,New Wanderers Stadium,India,Mohammad Asif,25,1,8.33,19,India,1,3
70,287879,2007-09-24,New Wanderers Stadium,India,Mohammad Hafeez,25,0,8.33,18,India,1,3
73,287879,2007-09-24,New Wanderers Stadium,India,Shahid Afridi,30,0,7.5,24,India,1,4
74,287879,2007-09-24,New Wanderers Stadium,India,Sohail Tanvir,29,1,7.25,26,India,1,4
75,287879,2007-09-24,New Wanderers Stadium,India,Umar Gul,28,3,7.0,26,India,1,4
77,287879,2007-09-24,New Wanderers Stadium,India,Yasir Arafat,19,0,9.5,12,India,1,2
80,306989,2007-09-02,Gymkhana Club Ground,Pakistan,Iftikhar Anjum,33,1,8.25,24,Bangladesh,2,4
83,306989,2007-09-02,Gymkhana Club Ground,Pakistan,Mohammad Asif,36,0,9.0,25,Bangladesh,2,4
84,306989,2007-09-02,Gymkhana Club Ground,Pakistan,Shahid Afridi,26,2,6.5,24,Bangladesh,2,4
85,306989,2007-09-02,Gymkhana Club Ground,Pakistan,Shoaib Akhtar,30,2,7.5,26,Bangladesh,2,4
87,306989,2007-09-02,Gymkhana Club Ground,Pakistan,Yasir Arafat,31,2,7.75,25,Bangladesh,2,4
88,306991,2007-09-04,Gymkhana Club Ground,Pakistan,Abdur Rehman,7,2,2.33,18,Kenya,1,3
89,306991,2007-09-04,Gymkhana Club Ground,Pakistan,Fawad Alam,15,1,3.75,24,Kenya,1,4
92,306991,2007-09-04,Gymkhana Club Ground,Pakistan,Mohammad Hafeez,19,2,6.33,18,Kenya,1,3
95,306991,2007-09-04,Gymkhana Club Ground,Pakistan,Shoaib Akhtar,22,2,5.5,24,Kenya,1,4
96,306991,2007-09-04,Gymkhana Club Ground,Pakistan,Umar Gul,7,0,2.33,19,Kenya,1,3
97,306991,2007-09-04,Gymkhana Club Ground,Pakistan,Younis Khan,18,3,6.0,22,Kenya,1,3
101,343764,2008-04-20,National Stadium,Pakistan,Mansoor Amjad,3,3,3.0,7,Bangladesh,2,1
104,343764,2008-04-20,National Stadium,Pakistan,Shahid Afridi,19,3,4.75,24,Bangladesh,2,4
106,343764,2008-04-20,National Stadium,Pakistan,Shoaib Malik,27,1,9.0,20,Bangladesh,2,3
107,343764,2008-04-20,National Stadium,Pakistan,Sohail Tanvir,23,1,7.67,20,Bangladesh,2,3
108,343764,2008-04-20,National Stadium,Pakistan,Umar Gul,19,0,6.33,20,Bangladesh,2,3
109,343764,2008-04-20,National Stadium,Pakistan,Wahab Riaz,7,2,3.5,14,Bangladesh,2,2
115,355996,2009-06-07,Kennington Oval,England,Mohammad Amir,31,1,10.33,18,England,1,3
117,355996,2009-06-07,Kennington Oval,England,Saeed Ajmal,23,2,5.75,25,England,1,4
118,355996,2009-06-07,Kennington Oval,England,Shahid Afridi,36,0,9.0,24,England,1,4
119,355996,2009-06-07,Kennington Oval,England,Shoaib Malik,13,0,13.0,8,England,1,1
120,355996,2009-06-07,Kennington Oval,England,Umar Gul,37,2,9.25,27,England,1,4
121,355996,2009-06-07,Kennington Oval,England,Yasir Arafat,42,0,10.5,25,England,1,4
124,355999,2009-06-09,Lord's,Pakistan,Mohammad Amir,16,1,8.0,12,Netherlands,2,2
128,355999,2009-06-09,Lord's,Pakistan,Saeed Ajmal,20,3,5.0,24,Netherlands,2,4
129,355999,2009-06-09,Lord's,Pakistan,Shahid Afridi,11,4,2.75,26,Netherlands,2,4
130,355999,2009-06-09,Lord's,Pakistan,Shoaib Malik,18,1,9.0,14,Netherlands,2,2
131,355999,2009-06-09,Lord's,Pakistan,Sohail Tanvir,13,0,4.33,18,Netherlands,2,3
132,355999,2009-06-09,Lord's,Pakistan,Umar Gul,14,1,7.0,16,Netherlands,2,2
137,356005,2009-06-12,Lord's,Sri Lanka,Mohammad Amir,26,0,6.5,24,Sri Lanka,1,4
140,356005,2009-06-12,Lord's,Sri Lanka,Saeed Ajmal,26,2,6.5,24,Sri Lanka,1,4
141,356005,2009-06-12,Lord's,Sri Lanka,Shahid Afridi,23,2,5.75,26,Sri Lanka,1,4
142,356005,2009-06-12,Lord's,Sri Lanka,Shoaib Malik,5,0,2.5,12,Sri Lanka,1,2
143,356005,2009-06-12,Lord's,Sri Lanka,Sohail Tanvir,29,0,9.67,20,Sri Lanka,1,3
144,356005,2009-06-12,Lord's,Sri Lanka,Umar Gul,34,3,8.5,26,Sri Lanka,1,4
145,356008,2009-06-13,Kennington Oval,Pakistan,Abdul Razzaq,17,3,5.67,21,New Zealand,1,3
150,356008,2009-06-13,Kennington Oval,Pakistan,Mohammad Amir,23,1,7.67,18,New Zealand,1,3
152,356008,2009-06-13,Kennington Oval,Pakistan,Saeed Ajmal,24,0,6.0,24,New Zealand,1,4
153,356008,2009-06-13,Kennington Oval,Pakistan,Shahid Afridi,17,1,4.25,25,New Zealand,1,4
154,356008,2009-06-13,Kennington Oval,Pakistan,Shoaib Malik,8,0,8.0,6,New Zealand,1,1
155,356008,2009-06-13,Kennington Oval,Pakistan,Umar Gul,6,5,2.0,19,New Zealand,1,3
157,356012,2009-06-15,Kennington Oval,Pakistan,Abdul Razzaq,18,0,6.0,18,Ireland,2,3
159,356012,2009-06-15,Kennington Oval,Pakistan,Mohammad Amir,19,1,4.75,25,Ireland,2,4
161,356012,2009-06-15,Kennington Oval,Pakistan,Saeed Ajmal,19,4,4.75,25,Ireland,2,4
162,356012,2009-06-15,Kennington Oval,Pakistan,Shahid Afridi,26,1,6.5,25,Ireland,2,4
163,356012,2009-06-15,Kennington Oval,Pakistan,Shoaib Malik,11,0,11.0,6,Ireland,2,1
164,356012,2009-06-15,Kennington Oval,Pakistan,Umar Gul,19,3,4.75,26,Ireland,2,4
167,356015,2009-06-18,Trent Bridge,Pakistan,Abdul Razzaq,19,0,6.33,18,South Africa,2,3
169,356015,2009-06-18,Trent Bridge,Pakistan,Fawad Alam,15,0,15.0,6,South Africa,2,1
174,356015,2009-06-18,Trent Bridge,Pakistan,Mohammad Amir,30,2,7.5,24,South Africa,2,4
176,356015,2009-06-18,Trent Bridge,Pakistan,Saeed Ajmal,23,1,5.75,24,South Africa,2,4
177,356015,2009-06-18,Trent Bridge,Pakistan,Shahid Afridi,16,2,4.0,24,South Africa,2,4
178,356015,2009-06-18,Trent Bridge,Pakistan,Shoaib Malik,5,0,5.0,6,South Africa,2,1
179,356015,2009-06-18,Trent Bridge,Pakistan,Umar Gul,19,0,6.33,19,South Africa,2,3
182,356017,2009-06-21,Lord's,Pakistan,Abdul Razzaq,20,3,6.67,18,Sri Lanka,1,3
186,356017,2009-06-21,Lord's,Pakistan,Mohammad Amir,30,1,7.5,24,Sri Lanka,1,4
189,356017,2009-06-21,Lord's,Pakistan,Saeed Ajmal,28,0,7.0,24,Sri Lanka,1,4
190,356017,2009-06-21,Lord's,Pakistan,Shahid Afridi,20,1,5.0,24,Sri Lanka,1,4
191,356017,2009-06-21,Lord's,Pakistan,Shoaib Malik,8,0,8.0,6,Sri Lanka,1,1
192,356017,2009-06-21,Lord's,Pakistan,Umar Gul,29,1,7.25,27,Sri Lanka,1,4
194,361656,2008-10-11,Maple Leaf North-West Ground,Pakistan,Fawad Alam,13,1,13.0,6,Sri Lanka,1,1
198,361656,2008-10-11,Maple Leaf North-West Ground,Pakistan,Shahid Afridi,20,1,5.0,24,Sri Lanka,1,4
199,361656,2008-10-11,Maple Leaf North-West Ground,Pakistan,Shoaib Akhtar,31,2,7.75,24,Sri Lanka,1,4
200,361656,2008-10-11,Maple Leaf North-West Ground,Pakistan,Shoaib Malik,23,1,5.75,25,Sri Lanka,1,4
201,361656,2008-10-11,Maple Leaf North-West Ground,Pakistan,Sohail Tanvir,29,0,7.25,27,Sri Lanka,1,4
203,361656,2008-10-11,Maple Leaf North-West Ground,Pakistan,Umar Gul,13,4,4.33,19,Sri Lanka,1,3
206,361660,2008-10-13,Maple Leaf North-West Ground,Sri Lanka,Fawad Alam,16,1,5.33,18,Sri Lanka,2,3
209,361660,2008-10-13,Maple Leaf North-West Ground,Sri Lanka,Shahid Afridi,15,1,3.75,24,Sri Lanka,2,4
210,361660,2008-10-13,Maple Leaf North-West Ground,Sri Lanka,Shoaib Akhtar,40,0,13.33,21,Sri Lanka,2,3
211,361660,2008-10-13,Maple Leaf North-West Ground,Sri Lanka,Shoaib Malik,17,2,4.25,27,Sri Lanka,2,4
212,361660,2008-10-13,Maple Leaf North-West Ground,Sri Lanka,Sohail Tanvir,13,0,6.5,12,Sri Lanka,2,2
214,361660,2008-10-13,Maple Leaf North-West Ground,Sri Lanka,Umar Gul,24,1,8.0,22,Sri Lanka,2,3
220,392615,2009-05-07,Dubai International Cricket Stadium,Pakistan,Saeed Ajmal,19,1,6.33,23,Australia,1,3
221,392615,2009-05-07,Dubai International Cricket Stadium,Pakistan,Shahid Afridi,14,3,3.5,24,Australia,1,4
222,392615,2009-05-07,Dubai International Cricket Stadium,Pakistan,Shoaib Akhtar,18,0,9.0,13,Australia,1,2
223,392615,2009-05-07,Dubai International Cricket Stadium,Pakistan,Shoaib Malik,14,2,4.67,18,Australia,1,3
224,392615,2009-05-07,Dubai International Cricket Stadium,Pakistan,Sohail Tanvir,32,0,10.67,19,Australia,1,3
225,392615,2009-05-07,Dubai International Cricket Stadium,Pakistan,Umar Gul,8,4,2.0,25,Australia,1,4
227,403375,2009-08-12,R Premadasa Stadium,Pakistan,Iftikhar Anjum,34,1,8.5,24,Sri Lanka,2,4
230,403375,2009-08-12,R Premadasa Stadium,Pakistan,Mohammad Amir,22,1,7.33,19,Sri Lanka,2,3
231,403375,2009-08-12,R Premadasa Stadium,Pakistan,Naved-ul-Hasan,19,3,6.33,20,Sri Lanka,2,3
234,403375,2009-08-12,R Premadasa Stadium,Pakistan,Saeed Ajmal,18,4,4.5,24,Sri Lanka,2,4
235,403375,2009-08-12,R Premadasa Stadium,Pakistan,Shahid Afridi,21,1,5.25,26,Sri Lanka,2,4
239,406207,2010-02-05,Melbourne Cricket Ground,Australia,Mohammad Asif,31,1,7.75,24,Australia,1,4
240,406207,2010-02-05,Melbourne Cricket Ground,Australia,Naved-ul-Hasan,27,2,6.75,24,Australia,1,4
244,406207,2010-02-05,Melbourne Cricket Ground,Australia,Saeed Ajmal,18,1,6.0,18,Australia,1,3
245,406207,2010-02-05,Melbourne Cricket Ground,Australia,Shoaib Malik,31,2,7.75,25,Australia,1,4
246,406207,2010-02-05,Melbourne Cricket Ground,Australia,Umar Gul,20,4,6.67,23,Australia,1,3
247,412680,2010-05-01,Beausejour Stadium,Pakistan,Abdul Razzaq,23,0,11.5,13,Bangladesh,2,2
250,412680,2010-05-01,Beausejour Stadium,Pakistan,Mohammad Amir,16,2,4.0,24,Bangladesh,2,4
252,412680,2010-05-01,Beausejour Stadium,Pakistan,Mohammad Hafeez,28,1,9.33,19,Bangladesh,2,3
253,412680,2010-05-01,Beausejour Stadium,Pakistan,Mohammad Sami,29,3,7.25,25,Bangladesh,2,4
255,412680,2010-05-01,Beausejour Stadium,Pakistan,Saeed Ajmal,18,1,6.0,19,Bangladesh,2,3
257,412680,2010-05-01,Beausejour Stadium,Pakistan,Shahid Afridi,37,0,9.25,24,Bangladesh,2,4
264,412683,2010-05-02,Beausejour Stadium,Australia,Mohammad Amir,23,5,5.75,24,Australia,1,4
265,412683,2010-05-02,Beausejour Stadium,Australia,Mohammad Hafeez,47,1,11.75,24,Australia,1,4
266,412683,2010-05-02,Beausejour Stadium,Australia,Mohammad Sami,54,1,13.5,26,Australia,1,4
270,412683,2010-05-02,Beausejour Stadium,Australia,Saeed Ajmal,34,3,8.5,24,Australia,1,4
271,412683,2010-05-02,Beausejour Stadium,Australia,Shahid Afridi,33,0,8.25,24,Australia,1,4
272,412689,2010-05-06,Kensington Oval,England,Abdul Razzaq,22,1,7.33,18,England,2,3
275,412689,2010-05-06,Kensington Oval,England,Mohammad Amir,25,0,6.25,25,England,2,4
276,412689,2010-05-06,Kensington Oval,England,Mohammad Asif,43,0,10.75,24,England,2,4
277,412689,2010-05-06,Kensington Oval,England,Mohammad Hafeez,12,0,12.0,7,England,2,1
281,412689,2010-05-06,Kensington Oval,England,Saeed Ajmal,18,2,6.0,21,England,2,3
282,412689,2010-05-06,Kensington Oval,England,Shahid Afridi,28,1,7.0,24,England,2,4
284,412693,2010-05-08,Kensington Oval,New Zealand,Abdur Rehman,19,2,6.33,20,New Zealand,1,3
288,412693,2010-05-08,Kensington Oval,New Zealand,Mohammad Amir,20,0,6.67,21,New Zealand,1,3
289,412693,2010-05-08,Kensington Oval,New Zealand,Mohammad Hafeez,11,0,3.67,18,New Zealand,1,3
290,412693,2010-05-08,Kensington Oval,New Zealand,Mohammad Sami,25,2,8.33,20,New Zealand,1,3
293,412693,2010-05-08,Kensington Oval,New Zealand,Saeed Ajmal,27,1,6.75,25,New Zealand,1,4
294,412693,2010-05-08,Kensington Oval,New Zealand,Shahid Afridi,29,2,7.25,25,New Zealand,1,4
295,412697,2010-05-10,Beausejour Stadium,Pakistan,Abdul Razzaq,16,1,5.33,18,South Africa,2,3
296,412697,2010-05-10,Beausejour Stadium,Pakistan,Abdur Rehman,35,2,8.75,26,South Africa,2,4
302,412697,2010-05-10,Beausejour Stadium,Pakistan,Mohammad Amir,33,0,8.25,24,South Africa,2,4
303,412697,2010-05-10,Beausejour Stadium,Pakistan,Mohammad Hafeez,5,0,5.0,6,South Africa,2,1
305,412697,2010-05-10,Beausejour Stadium,Pakistan,Saeed Ajmal,26,4,6.5,24,South Africa,2,4
306,412697,2010-05-10,Beausejour Stadium,Pakistan,Shahid Afridi,21,0,5.25,24,South Africa,2,4
307,412702,2010-05-14,Beausejour Stadium,Australia,Abdul Razzaq,22,0,11.0,12,Australia,2,2
308,412702,2010-05-14,Beausejour Stadium,Australia,Abdur Rehman,33,2,8.25,25,Australia,2,4
313,412702,2010-05-14,Beausejour Stadium,Australia,Mohammad Amir,35,3,8.75,27,Australia,2,4
314,412702,2010-05-14,Beausejour Stadium,Australia,Mohammad Hafeez,20,0,10.0,12,Australia,2,2
318,412702,2010-05-14,Beausejour Stadium,Australia,Saeed Ajmal,46,1,11.5,24,Australia,2,4
319,412702,2010-05-14,Beausejour Stadium,Australia,Shahid Afridi,34,1,8.5,24,Australia,2,4
320,426392,2010-07-05,Edgbaston,Pakistan,Abdul Razzaq,15,1,7.5,12,Australia,2,2
324,426392,2010-07-05,Edgbaston,Pakistan,Mohammad Amir,27,3,6.75,25,Australia,2,4
327,426392,2010-07-05,Edgbaston,Pakistan,Saeed Ajmal,26,3,8.67,23,Australia,2,3
328,426392,2010-07-05,Edgbaston,Pakistan,Shahid Afridi,26,1,6.5,26,Australia,2,4
329,426392,2010-07-05,Edgbaston,Pakistan,Shoaib Akhtar,34,0,17.0,12,Australia,2,2
330,426392,2010-07-05,Edgbaston,Pakistan,Umar Gul,13,2,4.33,18,Australia,2,3
335,426393,2010-07-06,Edgbaston,Pakistan,Mohammad Amir,27,3,6.75,24,Australia,2,4
338,426393,2010-07-06,Edgbaston,Pakistan,Saeed Ajmal,26,2,6.5,24,Australia,2,4
339,426393,2010-07-06,Edgbaston,Pakistan,Shahid Afridi,30,2,7.5,24,Australia,2,4
340,426393,2010-07-06,Edgbaston,Pakistan,Shoaib Akhtar,29,1,7.25,26,Australia,2,4
341,426393,2010-07-06,Edgbaston,Pakistan,Umar Gul,36,2,12.0,23,Australia,2,3
342,426417,2010-09-05,Sophia Gardens,England,Abdul Razzaq,20,0,10.0,12,England,2,2
348,426417,2010-09-05,Sophia Gardens,England,Saeed Ajmal,30,0,10.0,18,England,2,3
349,426417,2010-09-05,Sophia Gardens,England,Shahid Afridi,27,2,6.75,24,England,2,4
350,426417,2010-09-05,Sophia Gardens,England,Shoaib Akhtar,23,2,5.75,25,England,2,4
352,426417,2010-09-05,Sophia Gardens,England,Umar Gul,17,1,8.5,13,England,2,2
353,426417,2010-09-05,Sophia Gardens,England,Wahab Riaz,11,0,5.5,12,England,2,2
356,426418,2010-09-07,Sophia Gardens,England,Mohammad Hafeez,15,0,7.5,12,England,2,2
359,426418,2010-09-07,Sophia Gardens,England,Saeed Ajmal,13,1,4.33,18,England,2,3
360,426418,2010-09-07,Sophia Gardens,England,Shahid Afridi,15,1,5.0,18,England,2,3
361,426418,2010-09-07,Sophia Gardens,England,Shoaib Akhtar,18,2,4.5,24,England,2,4
363,426418,2010-09-07,Sophia Gardens,England,Umar Gul,23,0,11.5,14,England,2,2
365,426723,2009-11-12,Dubai International Cricket Stadium,Pakistan,Abdul Razzaq,9,2,3.0,18,New Zealand,2,3
367,426723,2009-11-12,Dubai International Cricket Stadium,Pakistan,Mohammad Amir,21,2,7.0,18,New Zealand,2,3
371,426723,2009-11-12,Dubai International Cricket Stadium,Pakistan,Saeed Ajmal,18,2,6.0,19,New Zealand,2,3
372,426723,2009-11-12,Dubai International Cricket Stadium,Pakistan,Shahid Afridi,21,2,7.0,21,New Zealand,2,3
373,426723,2009-11-12,Dubai International Cricket Stadium,Pakistan,Sohail Tanvir,22,1,5.5,25,New Zealand,2,4
375,426723,2009-11-12,Dubai International Cricket Stadium,Pakistan,Umar Gul,13,0,6.5,12,New Zealand,2,2
378,426724,2009-11-13,Dubai International Cricket Stadium,Pakistan,Mohammad Amir,33,0,8.25,24,New Zealand,2,4
382,426724,2009-11-13,Dubai International Cricket Stadium,Pakistan,Saeed Ajmal,24,1,6.0,24,New Zealand,2,4
383,426724,2009-11-13,Dubai International Cricket Stadium,Pakistan,Shahid Afridi,21,1,7.0,18,New Zealand,2,3
384,426724,2009-11-13,Dubai International Cricket Stadium,Pakistan,Shoaib Malik,19,0,9.5,13,New Zealand,2,2
385,426724,2009-11-13,Dubai International Cricket Stadium,Pakistan,Sohail Tanvir,14,1,4.67,21,New Zealand,2,3
387,426724,2009-11-13,Dubai International Cricket Stadium,Pakistan,Umar Gul,29,2,7.25,24,New Zealand,2,4
388,440945,2010-02-19,Dubai International Cricket Stadium,England,Abdul Razzaq,24,2,6.0,24,England,2,4
394,440945,2010-02-19,Dubai International Cricket Stadium,England,Saeed Ajmal,18,0,4.5,25,England,2,4
395,440945,2010-02-19,Dubai International Cricket Stadium,England,Shoaib Malik,28,0,9.33,21,England,2,3
397,440945,2010-02-19,Dubai International Cricket Stadium,England,Umar Gul,36,0,12.0,21,England,2,3
398,440945,2010-02-19,Dubai International Cricket Stadium,England,Yasir Arafat,18,1,4.5,27,England,2,4
400,440946,2010-02-20,Dubai International Cricket Stadium,Pakistan,Abdul Razzaq,17,0,4.25,24,England,1,4
405,440946,2010-02-20,Dubai International Cricket Stadium,Pakistan,Saeed Ajmal,29,1,7.25,24,England,1,4
406,440946,2010-02-20,Dubai International Cricket Stadium,Pakistan,Shahid Afridi,27,0,6.75,24,England,1,4
408,440946,2010-02-20,Dubai International Cricket Stadium,Pakistan,Umar Gul,43,2,10.75,27,England,1,4
409,440946,2010-02-20,Dubai International Cricket Stadium,Pakistan,Yasir Arafat,32,3,8.0,25,England,1,4
415,461565,2010-10-27,Sheikh Zayed Stadium,South Africa,Mohammad Hafeez,19,1,4.75,27,South Africa,2,4
416,461565,2010-10-27,Sheikh Zayed Stadium,South Africa,Saeed Ajmal,23,1,7.67,19,South Africa,2,3
417,461565,2010-10-27,Sheikh Zayed Stadium,South Africa,Shahid Afridi,13,1,3.25,24,South Africa,2,4
418,461565,2010-10-27,Sheikh Zayed Stadium,South Africa,Shoaib Akhtar,36,1,9.0,25,South Africa,2,4
419,461565,2010-10-27,Sheikh Zayed Stadium,South Africa,Umar Gul,32,0,10.67,23,South Africa,2,3
421,473918,2010-12-26,Eden Park,New Zealand,Abdul Razzaq,15,0,15.0,6,New Zealand,2,1
424,473918,2010-12-26,Eden Park,New Zealand,Mohammad Hafeez,29,1,9.67,21,New Zealand,2,3
427,473918,2010-12-26,Eden Park,New Zealand,Saeed Ajmal,14,0,4.67,19,New Zealand,2,3
428,473918,2010-12-26,Eden Park,New Zealand,Shahid Afridi,19,1,6.33,18,New Zealand,2,3
429,473918,2010-12-26,Eden Park,New Zealand,Shoaib Akhtar,38,3,9.5,24,New Zealand,2,4
431,473918,2010-12-26,Eden Park,New Zealand,Umar Gul,16,0,8.0,13,New Zealand,2,2
432,473918,2010-12-26,Eden Park,New Zealand,Wahab Riaz,10,0,10.0,6,New Zealand,2,1
433,473919,2010-12-28,Seddon Park,New Zealand,Abdul Razzaq,12,1,6.0,12,New Zealand,1,2
439,473919,2010-12-28,Seddon Park,New Zealand,Saeed Ajmal,35,3,8.75,24,New Zealand,1,4
440,473919,2010-12-28,Seddon Park,New Zealand,Shahid Afridi,22,1,5.5,24,New Zealand,1,4
441,473919,2010-12-28,Seddon Park,New Zealand,Shoaib Akhtar,42,1,10.5,26,New Zealand,1,4
443,473919,2010-12-28,Seddon Park,New Zealand,Umar Gul,47,0,15.67,18,New Zealand,1,3
444,473919,2010-12-28,Seddon Park,New Zealand,Wahab Riaz,22,1,7.33,21,New Zealand,1,3
446,473920,2010-12-30,AMI Stadium,Pakistan,Abdul Razzaq,13,3,3.25,24,New Zealand,2,4
447,473920,2010-12-30,AMI Stadium,Pakistan,Abdur Rehman,22,1,5.5,24,New Zealand,2,4
452,473920,2010-12-30,AMI Stadium,Pakistan,Shahid Afridi,14,4,7.0,17,New Zealand,2,2
454,473920,2010-12-30,AMI Stadium,Pakistan,Tanvir Ahmed,13,2,4.33,21,New Zealand,2,3
455,473920,2010-12-30,AMI Stadium,Pakistan,Wahab Riaz,15,0,7.5,13,New Zealand,2,2
456,478279,2010-10-26,Sheikh Zayed Stadium,South Africa,Abdul Razzaq,20,0,10.0,13,South Africa,2,2
462,478279,2010-10-26,Sheikh Zayed Stadium,South Africa,Mohammad Hafeez,10,1,3.33,18,South Africa,2,3
463,478279,2010-10-26,Sheikh Zayed Stadium,South Africa,Saeed Ajmal,18,1,4.5,25,South Africa,2,4
464,478279,2010-10-26,Sheikh Zayed Stadium,South Africa,Shahid Afridi,23,0,11.5,12,South Africa,2,2
465,478279,2010-10-26,Sheikh Zayed Stadium,South Africa,Shoaib Akhtar,29,2,7.25,24,South Africa,2,4
466,478279,2010-10-26,Sheikh Zayed Stadium,South Africa,Umar Gul,17,0,5.67,20,South Africa,2,3
469,489212,2011-04-21,Beausejour Stadium,West Indies,Abdur Rehman,22,3,5.5,25,West Indies,1,4
473,489212,2011-04-21,Beausejour Stadium,West Indies,Junaid Khan,15,0,7.5,12,West Indies,1,2
474,489212,2011-04-21,Beausejour Stadium,West Indies,Mohammad Hafeez,23,0,7.67,19,West Indies,1,3
476,489212,2011-04-21,Beausejour Stadium,West Indies,Saeed Ajmal,35,2,8.75,24,West Indies,1,4
477,489212,2011-04-21,Beausejour Stadium,West Indies,Shahid Afridi,30,0,10.0,18,West Indies,1,3
478,489212,2011-04-21,Beausejour Stadium,West Indies,Wahab Riaz,24,2,6.0,27,West Indies,1,4
479,523735,2011-09-16,Harare Sports Club,Pakistan,Aizaz Cheema,21,2,7.0,21,Zimbabwe,2,3
485,523735,2011-09-16,Harare Sports Club,Pakistan,Mohammad Hafeez,10,4,5.0,14,Zimbabwe,2,2
487,523735,2011-09-16,Harare Sports Club,Pakistan,Saeed Ajmal,10,1,5.0,12,Zimbabwe,2,2
488,523735,2011-09-16,Harare Sports Club,Pakistan,Sohail Khan,13,2,6.5,13,Zimbabwe,2,2
489,523735,2011-09-16,Harare Sports Club,Pakistan,Sohail Tanvir,24,1,8.0,21,Zimbabwe,2,3
490,523735,2011-09-16,Harare Sports Club,Pakistan,Yasir Shah,31,0,10.33,18,Zimbabwe,2,3
493,523736,2011-09-18,Harare Sports Club,Pakistan,Junaid Khan,23,2,5.75,24,Zimbabwe,2,4
495,523736,2011-09-18,Harare Sports Club,Pakistan,Mohammad Hafeez,11,3,3.67,18,Zimbabwe,2,3
498,523736,2011-09-18,Harare Sports Club,Pakistan,Saeed Ajmal,21,1,5.25,26,Zimbabwe,2,4
499,523736,2011-09-18,Harare Sports Club,Pakistan,Sohail Khan,31,0,7.75,25,Zimbabwe,2,4
